ticker,date,change_percent,from_open_percent,gap,change_percent_pre,from_open_percent_pre,gap_pre,beta_pre,atr_pre,sma20_percent_pre,sma50_percent_pre,sma200_percent_pre,high_52w_percent_pre,low_52w_percent_pre,rsi_pre,price_pre,volume_pre
CORT,2025-05-20,1.87,1.37,0.49,109.08,20.59,73.38,0.65,7.11,92.3,82.13,136.82,52.29,448.08,86.54,114.22,14297377
HMST,2025-05-05,-0.09,1.65,-1.7,26.24,13.43,11.29,1.44,0.55,27.27,19.5,-3.08,-27.08,45.12,77.09,11.74,2509039
GATE,2025-04-02,0,0,0,83.83,8.58,69.3,-0.49,8.16,116.34,171.72,225.22,-41.01,264.14,62.82,36.05,159592
ICCT,2025-04-23,-1.77,-10.65,9.93,104.35,74.79,16.91,-0.7,0.89,291.15,166.5,-36.42,-88.18,1661.77,66.36,4.23,175892925
NUTX,2025-04-22,0.5,-0.26,0.76,51.82,9.85,38.21,0.27,6.63,36.19,35.81,145.89,2.81,1616.35,65.03,71.4,313791
YOSH,2025-04-02,11.84,5.93,5.58,19.82,10.78,8.16,0.76,2.55,-5.36,38.87,146.61,-34.71,443.17,52.26,14.69,40838
BLIN,2025-04-28,0,0,0,19.25,12.94,5.59,1.2,0.16,29.66,18.69,52.19,-31.43,152.63,73.18,1.92,346987
TCRT,2025-04-03,50.71,42.09,6.07,29.63,22.81,5.56,-1.01,0.25,75.04,72.26,1.83,-84.86,113.14,83.24,2.8,13632174
YOSH,2025-04-10,-3.42,-3.42,0,11.84,5.93,5.58,0.72,2.63,3.66,51.59,172.95,-26.98,507.51,56.56,16.43,98872
OILD,2025-04-07,3.04,-4.83,8.27,19.7,12.75,6.17,-1.84,2.31,32.21,30.72,26.75,-16.74,63.99,61.35,19.99,321795
SKRE,2025-04-04,8.06,1.69,6.26,21.74,12.89,7.83,-2.61,0.82,17.42,30.68,8.3,-41.03,69.28,72.7,17.25,74429
BERZ,2025-04-07,-2.37,-14.1,13.65,22.08,10.38,10.6,-4.34,1.61,43.87,65.85,36.25,-35.16,133.68,75,22.34,371681
EFU,2025-04-07,6,-0.93,6.99,13.08,5.92,6.76,-1.65,0.38,19,16.09,9.84,-5.11,26.13,77.91,16.13,26402
ERY,2025-05-01,-0.85,-2.03,1.2,17.68,10.52,6.48,-1.47,1.24,24.18,21.14,18.97,-0.75,40.63,73.05,27.62,1147493
FAZ,2025-04-07,0.78,-7.58,9.04,21.89,10.57,10.24,-2.84,0.44,27.39,36.82,7,-35.07,55.73,73.7,7.74,66719999
FORD,2025-05-20,0,0,0,38.21,31.53,5.08,0.64,0.7,66.77,37.01,56.9,-17.97,119.35,79.93,6.8,526358
SARK,2025-05-20,0.07,0.27,-0.2,14.38,5.56,8.35,-2.17,5.27,29.41,54.68,-1.39,-51.44,131.01,70.2,64.36,784466
SDOW,2025-04-07,2.85,-6.22,9.66,16.61,7.99,7.98,-2.59,3.08,24.29,36.4,25.7,-10.46,56.04,77.11,67.05,6531488
SDS,2025-04-07,0.43,-5.77,6.57,12.09,6.38,5.37,-1.94,0.95,19.29,28.7,24.1,-7.79,42.56,77.6,25.86,32868879
SSG,2025-04-07,-5.13,-13.38,9.52,14.52,7.76,6.27,-2.99,2.76,38.2,52.38,38.3,-45.66,98.49,75.9,43.47,303289
TECS,2025-04-07,-1.61,-12.44,12.36,20.03,9.29,9.83,-3.49,5.33,42.09,64.36,61.36,-10.56,113.82,78.77,87.43,2037843
VXX,2025-04-07,-0.67,-9.21,9.41,19.78,7.04,11.91,-2.03,4.65,42.8,56.82,56,-17.77,87.22,79.37,74.85,26545311
WEBS,2025-04-07,-2.34,-12.87,12.09,17.08,5.28,11.2,-3.4,3.85,35.43,62.46,18.92,-38.7,116.45,74.36,57.38,147859
WTID,2025-04-16,-2.95,-2.51,-0.45,22.09,13.88,7.21,-1.11,2.84,34.19,33.13,35.93,-17.08,95.23,61.34,24.4,4038
JNVR,2025-04-01,0,-3.85,4,842.5,156.11,268,1.02,3.89,498.46,599.83,640.33,254.32,1019.89,94.32,37.7,24776655
ANNA,2025-04-09,-8.1,-3.11,-5.14,16.34,7.14,8.59,0.07,1.07,41.53,30.34,6.19,-43.85,122.93,72.58,10.5,46888
JNUG,2025-04-10,9.25,8.56,0.63,19.73,10.11,8.74,1.59,4.96,-1.83,7.27,22.76,-11.86,71.21,52.84,56.74,950486
XPP,2025-04-01,-0.52,0.64,-1.15,13.74,7.34,5.96,0.81,1.45,-23.06,-21.18,-1.94,-35.26,49.44,33.59,18.71,49898
