ticker,date,change_percent,from_open_percent,gap,change_percent_pre,from_open_percent_pre,gap_pre,beta_pre,atr_pre,sma20_percent_pre,sma50_percent_pre,sma200_percent_pre,high_52w_percent_pre,low_52w_percent_pre,rsi_pre,price_pre,volume_pre
CRVO,2024-12-09,-13.94,-26.84,17.63,22.53,13.97,7.51,1.61,1.64,14.73,-2.31,-29.74,-54.85,103.59,55.87,11.91,579999
CXAI,2024-12-09,11.94,4.65,6.97,31.37,26.42,3.92,0.91,0.18,30.65,30.89,-15.15,-71.57,95.15,69.57,2.01,8328299
GXAI,2024-12-09,56.92,12.09,40,83.1,30.65,40.14,2.83,0.32,88.34,84.53,-21.59,-86.46,157.43,78.28,2.6,144990417
SATL,2024-12-09,20.92,-0.21,21.17,24.84,10.42,13.06,1.99,0.34,147.33,218.84,212.47,0.51,444.44,92.63,3.92,5468623
SXTP,2024-12-10,34.48,25.81,6.9,26.09,15.08,9.57,5.31,0.14,40.84,45.3,-34.83,-92.1,106.7,68.31,60,275445
RGTI,2024-12-11,13.71,-7.29,22.65,45.19,50.93,-3.8,2.71,0.64,151.94,285.96,404.99,27.5,883.33,89.89,6.49,237172790
CSBR,2024-12-12,-11.64,-17.17,6.68,12.09,3.36,8.45,0.46,0.4,28.46,31.74,21.56,-18.1,62.22,75.88,5.84,308163
NXGL,2024-12-12,12.41,6.28,5.76,13.35,12.71,0.57,0.75,0.27,18.34,29.94,53.23,3.64,116.85,68.14,3.99,496012
XGN,2024-12-12,12.02,4.37,7.33,20.92,20.92,0,1.44,0.42,29.01,58.88,115.29,3.33,293.37,71.83,5.11,408478
ASPI,2024-12-16,18,11.95,5.4,14.42,6.16,7.78,3.42,0.8,-13.96,-10.43,27.91,-46.41,203.03,45.09,5,5143047
RCAT,2024-12-16,26.97,6.52,19.2,14.46,14.94,-0.42,0.48,1.11,3.49,59.64,227.18,-34.53,1396.36,57.35,8.23,7217100
BBAI,2024-12-17,13.71,7.26,6.02,18.65,15,3.17,3.3,0.41,16.89,46.97,70.92,-37.64,156.65,58.7,2.99,68742751
QUBT,2024-12-17,51.53,19.42,26.9,65.25,56.06,5.89,3.14,1.5,73.47,234.28,701.84,20.43,3022.01,75.81,11.08,113561340
AISP,2024-12-19,16.9,3.94,12.47,14.24,13.88,0.32,0.45,0.48,19.85,37.77,-17.16,-74.79,169.4,60.77,3.61,8006760
CVKD,2024-12-19,11.81,5.69,5.79,13.19,12.01,1.05,1.41,1.57,-1.71,-11.36,35.62,-60.18,140,47.69,12.96,121779
NTRP,2024-12-23,10.64,1.82,8.66,27.03,22.92,3.35,1.78,0.63,39.33,96.98,84.26,-22.02,283.39,71.52,5.31,94231
PIK,2024-12-23,27.75,-15.2,50.66,11.82,8.61,2.96,2.98,0.24,0.97,-0.37,-22.03,-78.79,46.45,51.88,2.27,423765
DRCT,2024-12-24,-32.55,-42.39,17.09,900,816.67,9.09,6.99,0.51,385.64,186.28,5.58,-84.67,978.01,86.06,5.5,60170611
AMPG,2024-12-24,63.56,34.67,21.46,24.75,17.62,6.06,0.49,0.41,65.74,112.84,87.38,-22.81,285.94,68.12,2.47,5104798
NEUE,2024-12-24,74.94,6.35,64.5,12.83,-1.37,14.4,0.83,0.36,-11.4,-14.9,-22.54,-74.02,13.72,41.29,4.31,9080
BBAI,2024-12-26,19.3,12.94,5.63,16.93,16.56,0.31,3.22,0.49,29.42,67.43,114.06,-22.21,220.17,63.45,3.73,49675614
PDYN,2024-12-26,47.57,7.36,37.45,37.6,32.8,3.62,4.34,0.91,9.94,56.98,132.96,-37.7,997.29,59,4.94,10234202
UAVS,2024-12-27,-10.26,-15.66,6.41,18.54,14.04,3.95,4.24,1.17,-31.99,-1.27,-81.92,-96.68,153.25,44.02,3.9,3509035
MDAI,2024-12-27,13.17,6.18,6.58,19.7,18.54,0.99,0.64,0.27,21.14,50.52,45.85,-34.69,194.94,68.01,2.43,2309245
QSI,2024-12-27,67.44,6.19,57.67,65.38,65.38,0,3.22,0.33,45.17,91.16,71.57,-16.67,251.25,66.83,2.15,80096975
RGTI,2024-12-27,10.62,1.49,9,36.04,38.35,-1.67,2.5,1.92,122.82,326.94,803.89,21.1,2239.39,78.03,15.44,201863952
SANW,2024-12-27,30.41,18.05,10.47,23.6,17.83,4.9,1.59,1,17.46,61.52,20.52,-50.39,236.67,62.25,7.07,31427
KORE,2024-12-30,11.48,-22.29,43.44,28.42,22.61,4.74,2.32,0.22,66.5,37.23,-7.65,-62.17,121.82,76.38,2.44,426801
NEHC,2024-12-31,22.45,8.5,12.86,28.61,23.74,3.94,0.12,0.94,-13.4,-45.92,-52.54,-60.13,121.72,40.15,4.9,536065
DM,2025-01-03,12.64,5.57,6.69,14.96,13.98,0.85,0.64,0.22,-16.82,-32.98,-49.3,-77.2,21.51,32.83,2.69,393030
GEVO,2025-01-03,22.84,14,7.76,11,10.48,0.48,2.77,0.19,38.71,25.73,108.07,-31.56,383.23,71.28,2.32,12532521
SOWG,2025-01-03,30.22,19.87,8.63,36.27,22.47,11.27,1.77,0.34,9.46,-47.97,-78.58,-88.8,40.4,39.85,2.78,369025
AMPX,2025-01-06,17.07,8.78,7.62,14.69,12.33,2.1,2.39,0.34,53.2,68.02,111.4,-37.64,434.9,74.74,3.28,4787300
CONL,2025-01-06,12.59,5.62,6.59,10.29,8.08,2.04,6.32,6.58,-15.81,-14.06,-6.95,-52.26,150.81,44.42,41.71,3946512
EXOD,2025-01-06,21.37,13.43,7,13.89,9.4,4.11,3.41,7.25,-10,22.1,171.12,-51.18,547.72,49.42,32.71,32509
IRBT,2025-01-06,28.15,16.09,10.39,24.65,22.5,1.76,0.79,0.72,18.7,24.41,15,-74.5,69.98,68,9.91,2873584
MBOT,2025-01-06,32.71,2.53,29.44,87.72,81.36,3.51,1.45,0.15,98.64,111.83,112.76,-8.93,160.98,91.32,2.14,22409883
MP,2025-01-06,12.42,6.29,5.77,11.04,9.97,0.98,2.3,0.99,2.13,-2.94,14.55,-24.2,81.64,52.16,18.2,4728786
PLUG,2025-01-06,19.77,10.53,8.37,12.88,13.36,-0.43,1.8,0.23,8.88,18.85,6.83,-48.83,64.38,59.33,2.63,96012559
SMR,2025-01-06,13.48,6.05,7,17.73,14.69,2.65,1.48,2.43,-0.57,-7.52,67.22,-35.45,1009.04,48.95,20.85,10398426
MCVT,2025-01-07,37.61,11.07,23.89,13.57,13,0.5,0.97,0.1,15.05,13.8,-8.26,-41.75,29.42,70.87,2.26,105221
NARI,2025-01-07,22.23,0.6,21.51,30.6,31.58,-0.74,0.97,3.54,19.17,25.65,37.55,-1.43,76.97,71.04,65,13020708
DATS,2025-01-13,12.22,2.26,9.73,50.47,33.8,12.46,2.33,1.3,103.84,128.36,215.73,-48.29,378.22,58.73,4.83,157887857
ITCI,2025-01-13,34.07,-0.61,34.89,14.91,9.64,4.81,0.68,3.23,12,10.99,25.2,1.52,51.12,71.02,94.87,4096777
VRME,2025-01-13,61.96,29.06,25.49,51.79,41.67,7.14,0.53,0.47,149.48,163.98,94.75,-26.93,340.87,80,2.55,57707878
ABSI,2025-01-22,25.16,15.14,8.7,11.03,8.78,2.07,2.06,0.35,9.72,2.45,-18.65,-52.08,31.43,53.69,3.22,4232621
BFRG,2025-01-22,13.68,6.4,6.84,10.38,8.33,1.89,0.16,0.24,7.41,3.61,-7.5,-71.98,63.59,54.73,2.34,741600
LTRN,2025-01-22,10.07,4.67,5.16,10.3,6.82,3.25,1.54,0.42,14.36,16.93,-7.45,-66.06,45.88,60.34,4.07,45349
NTRB,2025-01-22,40.88,11.38,26.49,26.74,31.57,-3.67,0.39,0.42,20.79,14.91,0.17,-45.7,134.68,61.76,5.21,72420
BJDX,2025-01-24,11,5.71,5,10.5,10.8,-0.28,0.44,0.49,5.44,0.27,-93.97,-98.97,32.01,51.72,4,92248
RNAZ,2025-01-24,28,7.98,18.55,57.59,57.14,0.29,0.79,1.21,53.4,-23.56,-70.35,-91.71,106.77,56.04,5.5,10810392
ICAD,2025-01-28,19.3,13.33,5.26,17.77,14,3.31,1.46,0.22,37.95,50.66,75.82,7.55,141.53,78.1,2.85,2687986
SRFM,2025-01-29,-13.01,-17.21,5.08,17.7,11.31,5.74,2.44,0.69,5.59,26.72,86.37,-49.07,446.67,57.55,4.92,500596
BBAI,2025-02-05,44.81,30.46,11,16.08,9.11,6.38,2.92,0.54,25.64,43.2,144.82,-5.58,321.46,64.13,4.91,67996878
BFRG,2025-02-10,17.48,3.07,13.99,11.28,13.49,-1.95,0.17,0.31,21.59,24.87,14.87,-48.19,99.94,63.6,2.86,3714693
DOMH,2025-02-10,91.3,60,19.57,14.59,14.18,0.36,1.35,0.42,55.46,92.05,74.61,-25.98,289.92,70.42,3.22,141659
FHTX,2025-02-10,11.37,-2.94,14.74,15.29,15.57,-0.24,3.19,0.43,11.7,-8.94,-27.28,-53.66,59.4,53.74,4.75,243242
YOSH,2025-02-10,19.88,8.22,10.77,34.22,31.8,1.83,2.52,0.87,74.14,84.22,53.2,-20.12,143.67,77.3,6.59,321574
SOPA,2025-02-11,120.38,92.28,14.62,15.56,15.04,0.44,1.27,0.37,85.18,135.13,109.67,-26.86,257.63,72.85,2.6,3493901
AIFF,2025-02-12,54.4,20.32,28.33,170.97,95.35,38.71,3.21,1.02,123.61,166.59,74.75,-47.17,351.61,83.84,8.4,192325245
