ticker,date,change_percent_3,from_open_percent_3,gap_3,change_percent_2,from_open_percent_2,gap_2,beta_2,atr_2,sma20_percent_2,sma50_percent_2,sma200_percent_2,high_52w_percent_2,low_52w_percent_2,rsi_2,price_2,volume_2
CDIO,2024-12-10,38.46,38.32,0.1,41.82,40.54,0.91,4.53,0.08,131.03,174.83,25.76,-78.09,310.53,86.01,0.78,13712821
GXAI,2024-12-10,22.3,33.42,-8.33,56.92,12.09,40,2.45,0.51,169.75,179.72,23.47,-78.75,303.96,87.36,4.08,107556400
QSI,2024-12-10,13.57,20.86,-6.03,49.62,42.14,5.26,3.23,0.24,76.12,111.5,57.09,-18.11,225.11,71.42,1.99,41258327
RVPH,2024-12-10,18.87,5,13.21,28.48,22.54,4.85,-0.03,0.33,66.21,73.43,18.75,-62.61,253.33,80.05,2.12,21796983
SATL,2024-12-10,-16.03,-6.13,-10.55,20.92,-0.21,21.17,2,0.43,167.34,263.76,273.09,15.61,558.33,94.38,4.74,8130622
ICCT,2024-12-11,-12.5,-5.31,-7.59,18.6,1.48,16.87,0.73,0.03,26.32,-13,-70.6,-93.13,45.41,57.17,0.22,308184932
TNFA,2024-12-11,-22.29,-17.57,-5.73,11.35,1.29,9.93,2.18,0.15,24.68,9.53,-20.95,-85.28,46.73,62.85,1.57,1364403
SXTP,2024-12-11,13.33,10.5,2.56,34.48,25.81,6.9,5.05,0.18,80.97,92.7,-12.09,-89.38,177.98,78.33,60,6271117
VRAR,2024-12-11,31.58,30.43,0.88,35.71,5.56,28.57,1.96,0.13,57.96,62.47,17.75,-34.1,126.55,73.81,1.14,30122042
XFOR,2024-12-11,12.96,11.87,0.98,27.56,22.44,4.19,0.32,0.07,67.29,37.86,-16.85,-57.91,157.81,70.29,0.67,13896820
RGTI,2024-12-12,-19.11,-10.23,-9.89,13.71,-7.29,22.65,2.63,0.75,157.1,306.82,462.11,7.11,1018.18,91.47,7.38,308532784
AMPG,2024-12-12,13.99,-3.93,18.65,94.54,8.43,79.42,0.68,0.22,103.07,109.45,48.1,-24.31,201.56,80.67,1.93,191764387
CADL,2024-12-13,-31.12,-0.15,-31.02,26.45,22.81,2.97,-0.94,1.3,97.83,83.2,65.46,-32.88,880,81.24,9.8,28028189
TRUG,2024-12-16,-25.45,-10.53,-16.68,31.84,-19.1,62.96,-0.75,0.12,41.77,10.09,-37.64,-94.21,95.18,65.07,0.68,141151855
QBTS,2024-12-17,16.18,1.94,13.97,44.6,44.6,0,1.73,0.83,112.68,247.64,385.92,34.39,961.21,80.94,7.23,162283917
BGFV,2024-12-18,-25.75,-23.45,-3,26.63,28.73,-1.63,2.32,0.15,34.29,27.32,-9.21,-65.38,61.25,72.72,2.33,2316588
EKSO,2024-12-18,-11.99,-12.36,0.42,12.05,8.64,3.14,1.46,0.07,6.32,-14.15,-35.83,-77.08,43.4,49.79,0.72,223641
OPTX,2024-12-18,-28.05,-18.33,-11.9,98.31,-8.07,115.73,-0.73,0.45,218.22,176.23,49.09,-57.93,317.7,85.02,3.53,93016830
PRSO,2024-12-18,-11.6,-10.79,-0.91,17.52,5.77,11.11,1.59,0.12,24.5,-12.86,-20.61,-90.18,50.68,57.23,1.1,654576
SIDU,2024-12-18,-18.75,-9,-10.71,22.27,0.72,21.4,-0.79,0.72,219.63,169.59,100.71,-70.29,386.96,88.02,5.6,73652129
MOBX,2024-12-18,16.04,5.85,9.63,35.51,23.03,10.14,-0.25,0.26,74.4,113.36,23.94,-85,239.38,72.1,1.87,2205389
QUBT,2024-12-18,52.95,33.47,14.59,51.53,19.42,26.9,3.11,1.89,136.24,361.77,1048.74,36.73,4630.91,84.38,16.79,188830607
SKYT,2024-12-18,20.49,12.57,7.03,28.74,28.99,-0.2,3.72,0.86,47.01,40.89,47.11,0.85,132.33,81.49,13.08,4197722
UVIX,2024-12-20,-29.07,-27.74,-1.85,30.75,32.35,-1.21,-3.74,0.41,57.11,28.52,-13.47,-72.96,80.6,74.83,2,88391146
UVXY,2024-12-20,-22.07,-20.97,-1.39,13.99,23.48,-7.69,-4.44,1.77,41.03,23.33,6.32,-56.32,56.87,75.35,28.77,35970535
